"","GeneSet","f1_enrichment","f2_enrichment","f3_enrichment","max_diff"
"42","GO_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",0.444444444444444,0.555555555555556,0.222222222222222,0.333333333333333
"40","GO_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE",0.555555555555556,0.666666666666667,0.333333333333333,0.333333333333333
"41","GO_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_REMODELING",0.538461538461538,0.384615384615385,0.230769230769231,0.307692307692308
"43","GO_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",0.545454545454545,0.363636363636364,0.272727272727273,0.272727272727273
"20","GO_PHOSPHOLIPID_EFFLUX",0.5,0.25,0.25,0.25
"30","GO_REGULATION_OF_PHOSPHOLIPID_CATABOLIC_PROCESS",0.333333333333333,0.5,0.333333333333333,0.166666666666667
"13","GO_LIPOPROTEIN_METABOLIC_PROCESS",0.25,0.107142857142857,0.107142857142857,0.142857142857143
"24","GO_PROTEIN_LIPID_COMPLEX_ASSEMBLY",0.225806451612903,0.161290322580645,0.0967741935483871,0.129032258064516
"9","GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",0.375,0.3125,0.4375,0.125
"19","GO_PHOSPHATIDYLCHOLINE_CATABOLIC_PROCESS",0.25,0.375,0.375,0.125
"33","GO_REVERSE_CHOLESTEROL_TRANSPORT",0.375,0.25,0.375,0.125
"1","GO_ACYLGLYCEROL_HOMEOSTASIS",0.242424242424242,0.151515151515152,0.121212121212121,0.121212121212121
"39","GO_TRIGLYCERIDE_METABOLIC_PROCESS",0.170731707317073,0.121951219512195,0.0731707317073171,0.0975609756097561
"8","GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",0.333333333333333,0.25,0.25,0.0833333333333333
"5","GO_CHOLESTEROL_EFFLUX",0.2,0.125,0.15,0.075
"14","GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",0.214285714285714,0.285714285714286,0.214285714285714,0.0714285714285714
"23","GO_PROTEIN_CONTAINING_COMPLEX_REMODELING",0.275862068965517,0.206896551724138,0.241379310344828,0.0689655172413793
"2","GO_ACYLGLYCEROL_METABOLIC_PROCESS",0.11864406779661,0.0847457627118644,0.0508474576271186,0.0677966101694915
"32","GO_REGULATION_OF_STEROL_TRANSPORT",0.177777777777778,0.111111111111111,0.155555555555556,0.0666666666666667
"7","GO_GLYCEROLIPID_CATABOLIC_PROCESS",0.133333333333333,0.1,0.0666666666666667,0.0666666666666667
"36","GO_STEROL_HOMEOSTASIS",0.12987012987013,0.0909090909090909,0.0779220779220779,0.0519480519480519
"34","GO_SECONDARY_ALCOHOL_METABOLIC_PROCESS",0.105882352941176,0.0823529411764706,0.0588235294117647,0.0470588235294118
"15","GO_NEUTRAL_LIPID_METABOLIC_PROCESS",0.0847457627118644,0.0677966101694915,0.0423728813559322,0.0423728813559322
"37","GO_STEROL_METABOLIC_PROCESS",0.0947368421052632,0.0736842105263158,0.0526315789473684,0.0421052631578947
"11","GO_LIPID_HOMEOSTASIS",0.0866141732283465,0.0708661417322835,0.047244094488189,0.0393700787401575
"22","GO_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE",0.132075471698113,0.150943396226415,0.113207547169811,0.0377358490566038
"21","GO_PHOSPHOLIPID_TRANSPORT",0.0909090909090909,0.0568181818181818,0.0681818181818182,0.0340909090909091
"27","GO_REGULATION_OF_LIPID_TRANSPORT",0.0761904761904762,0.0476190476190476,0.0666666666666667,0.0285714285714286
"18","GO_ORGANOPHOSPHATE_ESTER_TRANSPORT",0.0695652173913043,0.0434782608695652,0.0521739130434783,0.0260869565217391
"38","GO_STEROL_TRANSPORT",0.10752688172043,0.0860215053763441,0.0967741935483871,0.021505376344086
"25","GO_PROTEIN_LIPID_COMPLEX_SUBUNIT_ORGANIZATION",0.163265306122449,0.142857142857143,0.163265306122449,0.0204081632653061
"10","GO_LIPID_CATABOLIC_PROCESS",0.0344827586206897,0.0219435736677116,0.0188087774294671,0.0156739811912226
"26","GO_REGULATION_OF_LIPID_LOCALIZATION",0.0671641791044776,0.0522388059701493,0.0597014925373134,0.0149253731343284
"4","GO_CELLULAR_LIPID_CATABOLIC_PROCESS",0.0443349753694581,0.0295566502463054,0.0295566502463054,0.0147783251231527
"3","GO_ALCOHOL_METABOLIC_PROCESS",0.0407239819004525,0.0361990950226244,0.0271493212669683,0.0135746606334842
"31","GO_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS",0.117647058823529,0.105882352941176,0.105882352941176,0.0117647058823529
"17","GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT",0.0420168067226891,0.0336134453781513,0.0420168067226891,0.00840336134453782
"35","GO_STEROID_METABOLIC_PROCESS",0.033003300330033,0.0297029702970297,0.0264026402640264,0.0066006600660066
"6","GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION",0.0245700245700246,0.0221130221130221,0.027027027027027,0.00491400491400492
"16","GO_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS",0.0211864406779661,0.0211864406779661,0.0169491525423729,0.00423728813559322
"12","GO_LIPID_LOCALIZATION",0.0285714285714286,0.025974025974026,0.025974025974026,0.00259740259740259
"28","GO_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE",0.157894736842105,0.157894736842105,0.157894736842105,0
"29","GO_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_CATABOLIC_PROCESS",0.4,0.4,0.4,0
